ranking,nazwa gracza,celno__,liczba zagra_,liczba pp,Ocena SS,Ocena S,Ocena A,ilosc medali
1,mrekk,97.96%,201441,28448,63,1547,1681,17
2,9MlCE,97.96%,328421,27381,38,981,1702,5
3,lifeline,97.66%,257107,24024,170,3191,2688,5
4,NINERIK,98.68%,175403,23586,199,1178,1261,13
5,gnahus,99.05%,146752,22803,647,3067,1240,11
6,Ivaxa,97.20%,94462,21785,41,742,1178,0
7,Chicony,98.53%,66656,21777,0,527,1824,7
8,aimbotcone,97.78%,187065,21731,28,756,2159,1
9,sytho,97.48%,364186,21532,156,643,729,0
10,aknzx,97.98%,84619,21042,15,459,962,1
11,WindowLife,98.76%,162401,20993,33,653,1125,3
12,Flaro,97.84%,144717,20913,113,667,990,0
13,NyanPotato,96.90%,171666,20601,15,476,677,0
14,Kamensh1k,97.70%,122758,20515,83,1538,1377,5
15,Lexu2S,98.40%,96854,20486,20,367,701,0
16,ASecretBox,99.15%,257397,20367,71,935,1832,8
17,enri,98.91%,241870,20315,405,1416,1723,14
18,yamss,97.67%,256235,20293,30,704,1591,2
19,tomasz chic,98.09%,148490,20269,54,324,826,2
20,aetrna,97.95%,165149,20147,141,649,1154,0
21,shimon,98.50%,278125,20099,104,1080,2081,0
22,Utami,98.25%,154271,20080,207,1107,1019,16
23,ChocoPafe,97.99%,232910,20042,90,1498,1976,0
24,WhiteCat,98.61%,51051,20007,70,607,1073,9
25,FlyingTuna,97.94%,145949,19933,53,1155,1261,32
26,femboygaming,98.20%,49530,19879,2,323,905,0
27,hydrogen bomb,99.21%,156223,19873,111,993,763,22
28,kazamabc,98.76%,324249,19872,198,2169,2397,0
29,MALISZEWSKI,98.95%,146924,19865,2909,5331,856,55
30,Freddie Benson,98.66%,91815,19854,17,604,1199,1
31,Shyot73,97.47%,134296,19744,30,1342,2069,0
32,MINHOCA LOKA,97.74%,202619,19731,25,527,1083,0
33,Milkteaism,98.43%,127659,19619,394,1239,1567,1
34,creator,98.05%,266898,19528,52,839,1438,3
35,Mathi,99.13%,257152,19469,183,3006,2233,11
36,ciru,97.96%,256667,19372,77,642,1116,0
37,Rafis,98.85%,380502,19326,238,2755,2229,4
38,[Karcher],99.27%,195015,19215,228,1999,1581,14
39,xootynator,99.40%,102069,19195,112,1644,1969,23
40,worst hr player,98.61%,130282,19165,143,1358,891,13
41,Connor McDavid,98.83%,277245,19116,291,3967,2355,13
42,Aricin,98.83%,187612,19086,90,1700,2205,2
43,Saiyku,98.25%,177450,19059,74,1086,1873,4
44,Zylice,97.02%,115257,18995,56,797,2227,9
45,bored yes,97.87%,105113,18822,30,680,666,0
46,[MG]Arnold24x24,98.82%,186442,18795,856,2389,1344,15
47,reused,98.62%,148542,18756,59,719,2628,0
48,VoProSSoFF,98.64%,224146,18739,94,1004,1668,0
49,Egor,97.87%,90779,18728,11,348,874,0
50,Welter,98.87%,181990,18697,53,1566,1926,5
